Name,Python,SQL,Azure,Machine_Learning,Docker,Kubernetes,PowerBI,Excel,Java,JavaScript,Git,REST_API,Scrum,Linux,Terraform,Spark,TensorFlow,Data_Analysis,CI_CD,Cloud_Architecture,Azure_DevOps,Microsoft_Fabric,Copilot_Studio,Power_Automate,Power_Apps,Microsoft_365,Azure_AI_Services,Dynamics_365,Azure_Data_Factory,Bicep_ARM,Hired
Anna,0,0,2,1,1,1,0,4,0,4,3,0,0,0,1,1,4,4,0,4,1,4,3,1,3,4,2,0,1,3,0
Clara,1,0,3,2,3,2,1,2,2,1,2,0,4,1,4,1,1,3,3,2,4,1,2,0,1,0,2,3,2,0,0
David,1,4,2,1,3,3,3,1,2,1,1,4,4,2,4,3,4,3,2,1,1,4,3,0,0,0,1,1,3,4,0
Elena,0,3,3,4,3,4,2,4,0,0,4,2,2,0,2,3,1,3,0,2,4,1,4,0,2,4,4,1,1,2,0
Ben,2,2,1,1,2,0,0,3,0,2,2,4,2,0,3,4,0,3,0,4,2,4,2,4,1,0,0,1,2,0,1
Olivia,2,1,1,0,1,3,2,2,0,2,2,4,3,4,2,0,0,2,1,4,2,0,0,4,3,2,2,3,4,4,1
Leon,1,2,0,1,2,2,1,3,4,2,4,4,0,4,2,0,1,2,0,0,4,1,2,2,4,1,2,1,2,4,1
Maria,3,2,0,0,3,2,0,0,2,1,2,1,3,4,3,4,0,0,0,1,4,0,2,4,4,1,3,1,0,2,1
Felix,1,4,4,0,4,2,3,0,0,2,2,1,0,1,4,0,0,3,0,4,1,1,3,4,1,2,4,4,3,1,1
Greta,4,1,2,3,2,3,4,3,0,1,1,0,2,0,4,4,1,4,1,0,0,0,1,0,0,2,0,4,1,2,1
Hans,3,1,4,1,4,4,3,1,3,3,1,0,0,3,2,3,3,3,0,0,0,3,2,0,1,1,1,4,3,1,1
Ines,3,1,2,3,1,0,3,4,0,0,4,0,0,1,1,3,3,3,1,3,0,1,3,0,3,2,3,2,3,4,1
Jonas,3,1,1,2,1,0,4,4,0,2,0,0,4,3,4,4,1,0,4,0,1,0,4,0,1,3,0,4,1,4,0
Katja,4,0,4,0,3,4,4,4,2,2,1,2,1,2,3,1,2,3,2,0,0,3,4,4,0,0,4,1,4,2,1
Noah,2,0,2,1,1,0,2,4,3,4,1,1,1,1,3,0,1,2,3,1,2,1,0,3,0,3,1,1,3,2,1
Paul,0,3,4,1,2,0,3,0,4,4,1,2,3,0,2,4,2,0,2,4,2,3,2,3,2,4,1,1,3,3,1
Quinn,1,4,4,2,3,4,0,2,2,1,3,4,4,2,3,3,3,1,4,3,1,0,2,4,4,2,0,1,2,1,1
Rosa,1,1,0,0,1,3,4,0,3,3,4,1,3,3,3,1,1,0,0,3,1,1,4,3,0,4,1,0,3,1,0
Stefan,3,4,4,4,2,3,4,4,3,4,3,1,3,3,2,1,2,4,3,1,2,3,0,2,1,2,2,2,4,0,1
Tanja,1,1,1,3,1,1,0,3,3,2,4,3,3,0,1,3,3,4,0,4,3,3,0,2,2,3,3,4,4,4,0
Uwe,1,3,1,2,3,3,0,3,2,3,1,3,1,4,4,0,3,4,4,0,0,3,1,3,1,0,2,3,2,1,0
Vera,3,2,2,3,2,3,2,0,3,0,4,0,2,1,0,0,0,1,1,0,4,1,1,1,3,0,4,1,3,2,1
Walter,2,1,4,4,0,1,2,0,4,0,2,4,3,3,1,0,4,1,0,2,4,0,4,0,2,4,3,2,0,4,1
Xena,2,0,3,3,0,3,2,3,1,3,1,4,2,4,4,3,3,3,4,2,2,1,0,2,3,1,3,4,4,3,1
Yara,2,0,3,2,1,3,1,2,2,2,2,4,2,4,0,4,1,0,1,3,3,4,1,3,3,3,0,0,2,1,1
Zach,3,1,2,4,2,3,4,4,2,3,4,2,2,3,2,2,2,1,0,1,2,0,4,1,1,1,3,2,4,4,1
Anja,4,2,0,1,2,1,2,1,2,0,4,1,2,0,0,4,2,1,3,0,0,4,2,3,3,3,2,1,0,2,0
Bruno,3,0,0,3,3,0,4,0,1,1,4,2,0,1,0,4,3,4,4,4,1,4,3,3,3,2,4,3,2,4,0
Carla,4,0,4,0,1,1,2,0,1,1,1,4,0,1,0,3,3,4,3,2,0,1,2,2,3,0,1,2,4,1,1
Dirk,3,0,4,1,1,2,1,0,0,1,2,4,4,2,3,0,3,2,3,2,4,4,3,3,0,4,0,3,2,4,1
Emma,2,0,0,1,4,4,0,2,4,0,1,3,4,3,2,1,4,3,3,0,3,2,3,2,2,0,1,2,3,3,0
Finn,2,3,4,0,3,0,2,2,2,0,3,4,0,4,3,3,0,1,4,2,4,3,3,0,1,2,4,1,2,3,1
Gina,3,0,0,4,1,1,2,4,0,4,3,0,1,0,3,0,1,3,2,4,2,3,3,3,1,3,4,1,3,1,0
Horst,4,4,1,0,2,3,2,4,2,0,2,2,4,4,3,1,3,4,3,2,2,4,4,3,3,2,1,1,4,3,0
Ida,1,3,0,2,3,3,3,1,3,0,1,4,4,2,0,3,0,4,3,0,1,3,1,0,3,2,2,4,3,0,0
Jan,2,4,3,2,3,4,0,4,0,1,2,1,0,3,0,0,3,1,2,0,0,2,0,2,2,2,3,1,1,4,1
Kira,3,4,1,1,1,0,4,3,4,1,3,4,1,1,3,2,3,2,0,3,2,4,1,0,3,2,4,2,3,2,0
Lars,3,2,1,3,3,0,1,3,4,2,4,2,2,0,3,2,0,4,0,4,3,2,1,4,2,1,1,4,2,1,0
Mia,0,0,2,3,0,4,2,1,0,2,2,3,1,1,1,4,2,4,4,2,1,2,3,2,2,0,3,0,1,1,1
Nico,3,4,2,0,3,0,2,4,0,3,2,2,4,3,2,0,1,3,0,4,4,2,4,1,0,3,2,3,0,1,1
Olga,0,0,2,3,0,0,1,4,1,3,3,2,4,3,4,1,3,0,3,4,3,2,0,2,1,3,3,1,2,0,1
Peter,2,4,2,0,3,2,1,0,3,0,1,4,0,0,2,1,1,4,1,0,4,1,4,1,1,2,1,4,0,2,1
Qian,1,1,4,2,1,0,0,1,0,2,1,4,2,0,1,2,0,1,3,4,0,0,3,3,2,4,4,0,3,4,1
